DEBUG : 2015-04-20 11:35:40,990 trying to open file ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:35:40,993 cannot open and search file with excel
INFO : 2015-04-20 11:36:33,720  started to run with arguments['G:\\RevenueAssurance\\Monitoring\\Croatia\\CommentGatherer\\getComments.py']
INFO : 2015-04-20 11:36:33,855 adding to list  ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:36:33,855 adding to list  ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:36:33,857 adding to list  ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
INFO : 2015-04-20 11:36:33,858 adding to list  ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:36:33,858 adding to list  ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:36:33,858 adding to list  ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:36:33,859 adding to list  ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:36:33,861 trying to open file ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:36:36,931 file opened successfully
DEBUG : 2015-04-20 11:36:37,088 trying to open file ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
DEBUG : 2015-04-20 11:36:38,505 file opened successfully
DEBUG : 2015-04-20 11:36:38,515 trying to open file ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
DEBUG : 2015-04-20 11:36:45,924 file opened successfully
DEBUG : 2015-04-20 11:36:46,007 trying to open file ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:36:49,006 file opened successfully
DEBUG : 2015-04-20 11:36:49,142 trying to open file ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:36:49,144 cannot open and search file with excel
DEBUG : 2015-04-20 11:36:49,331 trying to open file ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
WARNING : 2015-04-20 11:36:49,332 cannot open and search file with excel
DEBUG : 2015-04-20 11:36:49,546 trying to open file ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:36:49,548 cannot open and search file with excel
INFO : 2015-04-20 11:38:08,730  started to run with arguments['G:\\RevenueAssurance\\Monitoring\\Croatia\\CommentGatherer\\getComments.py']
INFO : 2015-04-20 11:38:08,782 adding to list  ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:38:08,782 adding to list  ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:38:08,782 adding to list  ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
INFO : 2015-04-20 11:38:08,782 adding to list  ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:38:08,783 adding to list  ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:38:08,785 adding to list  ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:38:08,785 adding to list  ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:38:08,786 trying to open file ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:38:11,795 file opened successfully
DEBUG : 2015-04-20 11:38:11,983 trying to open file ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
DEBUG : 2015-04-20 11:38:13,414 file opened successfully
DEBUG : 2015-04-20 11:38:13,426 trying to open file ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
DEBUG : 2015-04-20 11:38:20,490 file opened successfully
DEBUG : 2015-04-20 11:38:20,575 trying to open file ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:38:23,654 file opened successfully
DEBUG : 2015-04-20 11:38:23,828 trying to open file ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:38:23,829 cannot open and search file with excel
DEBUG : 2015-04-20 11:38:24,022 trying to open file ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
WARNING : 2015-04-20 11:38:24,023 cannot open and search file with excel
DEBUG : 2015-04-20 11:38:24,249 trying to open file ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:38:24,250 cannot open and search file with excel
INFO : 2015-04-20 11:40:42,227  started to run with arguments['G:\\RevenueAssurance\\Monitoring\\Croatia\\CommentGatherer\\getComments.py']
INFO : 2015-04-20 11:40:42,364 adding to list  ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:40:42,364 adding to list  ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:40:42,365 adding to list  ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
INFO : 2015-04-20 11:40:42,365 adding to list  ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:40:42,367 adding to list  ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:40:42,367 adding to list  ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:40:42,368 adding to list  ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:40:42,368 trying to open file ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:40:45,433 file opened successfully
DEBUG : 2015-04-20 11:40:45,621 trying to open file ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
DEBUG : 2015-04-20 11:40:47,033 file opened successfully
DEBUG : 2015-04-20 11:40:47,046 trying to open file ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
DEBUG : 2015-04-20 11:40:54,112 file opened successfully
DEBUG : 2015-04-20 11:40:54,273 trying to open file ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:40:57,246 file opened successfully
DEBUG : 2015-04-20 11:40:57,392 trying to open file ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:40:57,394 cannot open and search file with excel
DEBUG : 2015-04-20 11:40:57,555 trying to open file ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
WARNING : 2015-04-20 11:40:57,555 cannot open and search file with excel
DEBUG : 2015-04-20 11:40:57,841 trying to open file ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:40:57,842 cannot open and search file with excel
INFO : 2015-04-20 11:42:15,049  started to run with arguments['G:\\RevenueAssurance\\Monitoring\\Croatia\\CommentGatherer\\getComments.py']
INFO : 2015-04-20 11:42:15,089 adding to list  ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:42:15,091 adding to list  ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:42:15,091 adding to list  ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
INFO : 2015-04-20 11:42:15,092 adding to list  ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:42:15,092 adding to list  ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:42:15,094 adding to list  ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:42:15,094 adding to list  ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:42:15,095 trying to open file ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:42:18,130 file opened successfully
DEBUG : 2015-04-20 11:42:18,934 trying to open file ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
DEBUG : 2015-04-20 11:42:20,346 file opened successfully
DEBUG : 2015-04-20 11:42:20,411 trying to open file ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
DEBUG : 2015-04-20 11:42:27,456 file opened successfully
DEBUG : 2015-04-20 11:42:27,857 trying to open file ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:42:30,944 file opened successfully
DEBUG : 2015-04-20 11:42:31,980 trying to open file ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:42:31,982 cannot open and search file with excel
DEBUG : 2015-04-20 11:42:32,901 trying to open file ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
WARNING : 2015-04-20 11:42:32,903 cannot open and search file with excel
DEBUG : 2015-04-20 11:42:33,756 trying to open file ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:42:33,759 cannot open and search file with excel
INFO : 2015-04-20 11:48:54,436  started to run with arguments['G:\\RevenueAssurance\\Monitoring\\Croatia\\CommentGatherer\\getComments.py']
INFO : 2015-04-20 11:48:54,572 adding to list  ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:48:54,573 adding to list  ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:48:54,573 adding to list  ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
INFO : 2015-04-20 11:48:54,575 adding to list  ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:48:54,575 adding to list  ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:48:54,576 adding to list  ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:48:54,576 adding to list  ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:48:54,578 trying to open file ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:48:57,601 file opened successfully
DEBUG : 2015-04-20 11:48:58,384 trying to open file ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
DEBUG : 2015-04-20 11:49:00,030 file opened successfully
DEBUG : 2015-04-20 11:49:02,536 trying to open file ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
DEBUG : 2015-04-20 11:49:09,641 file opened successfully
DEBUG : 2015-04-20 11:49:10,026 trying to open file ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:49:13,000 file opened successfully
DEBUG : 2015-04-20 11:49:13,868 trying to open file ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:49:13,869 cannot open and search file with excel
DEBUG : 2015-04-20 11:49:14,743 trying to open file ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
WARNING : 2015-04-20 11:49:14,744 cannot open and search file with excel
DEBUG : 2015-04-20 11:49:15,618 trying to open file ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:49:15,618 cannot open and search file with excel
